# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = simpleLR_model
# start_datetime = 2022-10-23 13:41:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/57/xr8vd64j2_qd3ckpnwhjpw_h0000gn/T/tmp9mp0h5ln/g7g5kxd0.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/yyamaguchi/Desktop/programming/BayesianStatistics/src/01_simpleLinearReg/output/simpleLR-20221023224141_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,sigma,y_base.1,y_base.2,y_base.3,y_base.4,y_base.5,y_base.6,y_base.7,y_base.8,y_base.9,y_base.10,y_base.11,y_base.12,y_base.13,y_base.14,y_base.15,y_base.16,y_base.17,y_base.18,y_base.19,y_base.20
-132.908,0.130846,0.232696,1,1,0,133.995,-6.20743,5.24568,625.446,119.689,119.689,130.18,161.654,166.9,177.391,193.129,203.62,203.62,219.357,219.357,224.603,245.585,266.568,287.551,287.551,292.796,298.042,303.288,303.288
-130.667,0.993865,0.0366788,7,127,0,134.838,-3.34434,6.78669,617.15,159.536,159.536,173.11,213.83,220.616,234.19,254.55,268.123,268.123,288.483,288.483,295.27,322.417,349.564,376.71,376.71,383.497,390.284,397.07,397.07
-133.825,0.920557,0.0659894,3,7,0,134.288,-3.61487,6.79208,944.084,159.395,159.395,172.979,213.732,220.524,234.108,254.484,268.068,268.068,288.444,288.444,295.236,322.405,349.573,376.741,376.741,383.533,390.326,397.118,397.118
-131.092,0.998726,0.0960218,2,3,0,134.103,-3.78219,6.90383,706.602,161.91,161.91,175.718,217.141,224.044,237.852,258.564,272.371,272.371,293.083,293.083,299.987,327.602,355.217,382.833,382.833,389.736,396.64,403.544,403.544
-129.902,0.98926,0.172004,4,15,0,131.343,-4.38001,7.39999,618.266,173.22,173.22,188.02,232.42,239.82,254.62,276.82,291.619,291.619,313.819,313.819,321.219,350.819,380.419,410.019,410.019,417.419,424.819,432.219,432.219
-129.902,0.000310393,0.297412,2,3,0,132.757,-4.38001,7.39999,618.266,173.22,173.22,188.02,232.42,239.82,254.62,276.82,291.619,291.619,313.819,313.819,321.219,350.819,380.419,410.019,410.019,417.419,424.819,432.219,432.219
-116.017,0.995492,0.0355077,7,159,0,130.803,-1.07344,22.6874,409.603,543.424,543.424,588.798,724.923,747.61,792.985,861.047,906.422,906.422,974.484,974.484,997.171,1087.92,1178.67,1269.42,1269.42,1292.11,1314.79,1337.48,1337.48
-114.145,0.99998,0.0626671,4,15,0,116.82,-0.962186,22.8371,357.737,547.128,547.128,592.802,729.824,752.662,798.336,866.847,912.521,912.521,981.032,981.032,1003.87,1095.22,1186.57,1277.91,1277.91,1300.75,1323.59,1346.43,1346.43
-108.348,0.995367,0.110897,3,7,0,115.865,-1.20558,22.3289,239.551,534.687,534.687,579.345,713.318,735.647,780.305,847.292,891.949,891.949,958.936,958.936,981.265,1070.58,1159.9,1249.21,1249.21,1271.54,1293.87,1316.2,1316.2
-106.758,1,0.192111,2,3,0,108.526,-1.13318,22.1733,210.906,531.027,531.027,575.373,708.413,730.586,774.933,841.453,885.8,885.8,952.32,952.32,974.493,1063.19,1151.88,1240.57,1240.57,1262.75,1284.92,1307.09,1307.09
-104.413,0.205631,0.333915,3,9,1,109.628,-2.04451,22.0201,152.911,526.439,526.439,570.479,702.6,724.62,768.66,834.72,878.761,878.761,944.821,944.821,966.841,1054.92,1143,1231.08,1231.08,1253.1,1275.12,1297.14,1297.14
-101.356,0.990554,0.0736153,4,15,0,105.296,-2.0494,21.3983,115.333,511.511,511.511,554.307,682.697,704.096,746.892,811.088,853.884,853.884,918.079,918.079,939.478,1025.07,1110.66,1196.26,1196.26,1217.66,1239.05,1260.45,1260.45
-98.2285,0.980251,0.124718,4,15,0,103.197,-4.46484,17.9711,110.548,426.842,426.842,462.785,570.611,588.583,624.525,678.438,714.381,714.381,768.294,768.294,786.265,858.15,930.034,1001.92,1001.92,1019.89,1037.86,1055.83,1055.83
-98.58,0.236948,0.204148,5,32,1,103.97,-3.9573,18.3631,143.034,436.757,436.757,473.483,583.662,602.025,638.751,693.841,730.567,730.567,785.656,785.656,804.019,877.472,950.924,1024.38,1024.38,1042.74,1061.1,1079.47,1079.47
-99.7145,0.997662,0.0505857,4,15,0,101.033,-3.37636,17.9317,83.4019,426.985,426.985,462.848,570.438,588.37,624.233,678.028,713.892,713.892,767.687,767.687,785.619,857.346,929.072,1000.8,1000.8,1018.73,1036.66,1054.59,1054.59
-100.899,0.950162,0.086425,2,3,0,100.945,-3.37151,17.9193,77.5868,426.692,426.692,462.531,570.047,587.966,623.805,677.563,713.401,713.401,767.159,767.159,785.079,856.756,928.433,1000.11,1000.11,1018.03,1035.95,1053.87,1053.87
-95.1791,0.96757,0.130119,7,239,0,103.639,20.8947,19.1889,71.0467,481.429,481.429,519.807,634.941,654.13,692.508,750.075,788.453,788.453,846.019,846.019,865.208,941.964,1018.72,1095.48,1095.48,1114.66,1133.85,1153.04,1153.04
-95.3007,0.930461,0.203286,4,31,0,95.8579,20.4945,18.8262,113.385,472.323,472.323,509.976,622.933,641.759,679.412,735.89,773.543,773.543,830.021,830.021,848.847,924.152,999.457,1074.76,1074.76,1093.59,1112.41,1131.24,1131.24
-94.1966,0.616014,0.28803,2,5,0,94.8667,20.5905,19.0848,81.8129,478.625,478.625,516.794,631.303,650.388,688.557,745.812,783.981,783.981,841.235,841.235,860.32,936.659,1013,1089.34,1089.34,1108.42,1127.51,1146.59,1146.59
-94.3728,0.909412,0.188557,3,15,0,95.3126,21.1364,19.2115,84.8013,482.214,482.214,520.637,635.906,655.117,693.541,751.175,789.598,789.598,847.233,847.233,866.444,943.291,1020.14,1096.98,1096.98,1116.19,1135.41,1154.62,1154.62
-94.2135,0.794577,0.252709,3,7,0,95.0028,21.5583,19.0011,80.0434,477.584,477.584,515.586,629.592,648.593,686.596,743.599,781.601,781.601,838.604,838.604,857.605,933.609,1009.61,1085.62,1085.62,1104.62,1123.62,1142.62,1142.62
