# stan_version_major = 2
# stan_version_minor = 30
# stan_version_patch = 0
# model = simpleLR_model
# start_datetime = 2022-10-23 13:41:41 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = /var/folders/57/xr8vd64j2_qd3ckpnwhjpw_h0000gn/T/tmp9mp0h5ln/g7g5kxd0.json
# init = 2 (Default)
# random
#   seed = 1
# output
#   file = /Users/yyamaguchi/Desktop/programming/BayesianStatistics/src/01_simpleLinearReg/output/simpleLR-20221023224141_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.30.1
# stancflags = 
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a,b,sigma,y_base.1,y_base.2,y_base.3,y_base.4,y_base.5,y_base.6,y_base.7,y_base.8,y_base.9,y_base.10,y_base.11,y_base.12,y_base.13,y_base.14,y_base.15,y_base.16,y_base.17,y_base.18,y_base.19,y_base.20
-94.3426,0.948837,0.142173,9,751,0,95.6862,-120.042,22.6133,103.626,422.677,422.677,467.903,603.583,626.196,671.423,739.263,784.489,784.489,852.329,852.329,874.942,965.395,1055.85,1146.3,1146.3,1168.91,1191.53,1214.14,1214.14
-92.676,1,0.216752,2,3,0,94.4536,-120.229,22.0525,65.4651,409.031,409.031,453.136,585.451,607.504,651.608,717.766,761.871,761.871,828.028,828.028,850.081,938.291,1026.5,1114.71,1114.71,1136.76,1158.82,1180.87,1180.87
-92.676,0.177821,0.37474,2,3,0,93.751,-120.229,22.0525,65.4651,409.031,409.031,453.136,585.451,607.504,651.608,717.766,761.871,761.871,828.028,828.028,850.081,938.291,1026.5,1114.71,1114.71,1136.76,1158.82,1180.87,1180.87
-92.2667,1,0.0777436,4,15,0,93.3646,-120.128,21.6846,82.3117,400.302,400.302,443.671,573.779,595.463,638.833,703.886,747.256,747.256,812.309,812.309,833.994,920.732,1007.47,1094.21,1094.21,1115.89,1137.58,1159.26,1159.26
-92.3746,0.97019,0.134308,2,3,0,92.6997,-120.229,21.7127,70.1316,400.876,400.876,444.302,574.578,596.291,639.716,704.854,748.28,748.28,813.418,813.418,835.13,921.981,1008.83,1095.68,1095.68,1117.4,1139.11,1160.82,1160.82
-92.3746,0.0563512,0.213381,1,1,0,94.33,-120.229,21.7127,70.1316,400.876,400.876,444.302,574.578,596.291,639.716,704.854,748.28,748.28,813.418,813.418,835.13,921.981,1008.83,1095.68,1095.68,1117.4,1139.11,1160.82,1160.82
-92.168,0.999622,0.0339313,4,15,0,92.6025,-120.072,21.7269,80.1851,401.373,401.373,444.827,575.188,596.915,640.369,705.549,749.003,749.003,814.184,814.184,835.911,922.818,1009.73,1096.63,1096.63,1118.36,1140.09,1161.81,1161.81
-93.754,0.971194,0.058187,4,31,0,95.9191,-120.261,22.3361,103.686,415.806,415.806,460.478,594.495,616.831,661.503,728.512,773.184,773.184,840.192,840.192,862.528,951.873,1041.22,1130.56,1130.56,1152.9,1175.23,1197.57,1197.57
-93.5342,0.920635,0.0922618,2,7,0,96.5836,-120.252,22.2173,62.0317,412.964,412.964,457.399,590.703,612.92,657.355,724.007,768.442,768.442,835.094,835.094,857.311,946.18,1035.05,1123.92,1123.92,1146.14,1168.35,1190.57,1190.57
-93.6497,0.979786,0.12833,1,1,0,93.9077,-120.247,22.2408,61.8255,413.533,413.533,458.014,591.459,613.7,658.182,724.904,769.386,769.386,836.108,836.108,858.349,947.312,1036.28,1125.24,1125.24,1147.48,1169.72,1191.96,1191.96
